,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family,Alone
651,2,0.0,-0.9024630388829106,0,1,-0.1873183076751746,2.0,1,1
618,2,0.0,-1.962452330131817,2,1,0.1382681628633569,2.0,3,1
443,2,0.0,-0.14532783084797732,0,0,-0.3908098517617568,2.0,0,0
136,1,0.0,-0.8267495180794172,0,2,-0.12050592900522707,2.0,2,1
201,3,1.0,-0.01668165152980672,8,2,0.7599348300478654,2.0,10,1
523,1,0.0,1.0660885020079158,0,1,0.5244788342161629,0.0,1,1
163,3,1.0,-0.9781765596864039,0,0,-0.4790743090093118,2.0,0,0
450,2,1.0,0.46038033557996927,1,2,-0.09065982423404807,2.0,3,1
551,2,1.0,-0.22104135165147065,0,0,-0.12627084444919995,2.0,0,0
223,3,1.0,-0.01668165152980672,0,0,-0.4946760056944301,2.0,0,0
670,2,0.0,0.7632344187939426,1,1,0.1382681628633569,2.0,2,1
514,3,1.0,-0.4481819140619506,0,0,-0.5028156674578934,2.0,0,0
255,3,0.0,-0.069614310044484,0,2,-0.3451097207907922,0.0,2,1
436,3,0.0,-0.6753224764724306,2,2,0.04415332372331264,2.0,4,1
109,3,0.0,-0.01668165152980672,1,0,-0.16391678010521768,1.0,1,1
661,3,1.0,0.7632344187939426,0,0,-0.508326218471758,0.0,0,0
788,3,1.0,-2.189592892542297,1,2,-0.2366650071161708,2.0,3,1
285,3,1.0,0.2332397731694893,0,0,-0.4790743090093118,0.0,0,0
300,3,0.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
331,1,1.0,1.1796587832131558,0,0,-0.07539795842755441,2.0,0,0
560,3,1.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
352,3,1.0,-1.1296036012933905,1,1,-0.5082407520232417,0.0,2,1
859,3,1.0,-0.01668165152980672,0,0,-0.5082407520232417,0.0,0,0
368,3,0.0,-0.01668165152980672,0,0,-0.4976429124072125,1.0,0,0
53,2,0.0,-0.069614310044484,1,0,-0.12627084444919995,2.0,1,1
787,3,1.0,-1.6595982469178439,4,1,-0.06267973692214301,1.0,5,1
38,3,0.0,-0.9024630388829106,2,0,-0.2890640797184657,2.0,2,1
17,2,1.0,-0.01668165152980672,0,0,-0.3908098517617568,2.0,0,0
489,3,1.0,-1.5838847261143505,1,1,-0.33179730397664803,2.0,2,1
454,3,1.0,-0.01668165152980672,0,0,-0.491538166084615,2.0,0,0
273,1,1.0,0.5360938563834626,0,1,-0.050978973137164554,0.0,1,1
117,2,1.0,-0.069614310044484,1,0,-0.22801661649249105,2.0,1,1
118,1,1.0,-0.4481819140619506,0,1,4.381490119480296,0.0,1,1
365,3,1.0,0.006099210759009327,0,0,-0.5078174896115416,2.0,0,0
179,3,1.0,0.46038033557996927,0,0,-0.6553488590743137,2.0,0,0
92,1,1.0,1.2175155436149026,1,0,0.5895106618753528,2.0,1,1
268,1,0.0,2.1260777932568224,0,1,2.4674832493643986,2.0,1,1
409,3,0.0,-0.01668165152980672,3,1,-0.1371230484953374,2.0,4,1
354,3,1.0,-0.01668165152980672,0,0,-0.508326218471758,0.0,0,0
466,2,1.0,-0.01668165152980672,0,0,-0.6553488590743137,2.0,0,0
286,3,1.0,0.006099210759009327,0,0,-0.4620318921920606,2.0,0,0
819,3,1.0,-1.5081712053108571,3,2,-0.08760745107274936,2.0,5,1
348,3,1.0,-2.0381658509353104,1,1,-0.33179730397664803,2.0,2,1
65,3,1.0,-0.01668165152980672,1,1,-0.3451097207907922,0.0,2,1
602,1,1.0,-0.01668165152980672,0,0,0.20745528785279482,2.0,0,0
435,1,0.0,-1.205317122096884,1,2,1.7865496699646728,2.0,3,1
518,2,0.0,0.46038033557996927,1,0,-0.12627084444919995,2.0,1,1
275,1,0.0,2.504645397274289,1,0,0.9310366250621863,2.0,1,1
449,1,1.0,1.6717966684358625,0,0,-0.03469964961023796,2.0,0,0
369,1,0.0,-0.4481819140619506,0,0,0.7548475414457009,0.0,0,0
143,3,1.0,-0.8267495180794172,0,0,-0.5179920668158707,1.0,0,0
552,3,1.0,-0.01668165152980672,0,0,-0.49603125937804676,1.0,0,0
